Designator,Mid X,Mid Y,Rotation,Layer
C1,120.0912,-82.1944,270.0,top
C10,116.319,-52.2732,180.0,top
C11,116.319,-50.6984,180.0,top
C12,133.7564,-61.1254,270.0,top
C13,135.7376,-61.3004,270.0,top
C14,137.9728,-61.3004,270.0,top
C15,109.5248,-42.4688,270.0,top
C16,109.5248,-79.4382,270.0,top
C2,116.2812,-90.7288,180.0,top
C3,116.2812,-89.154,180.0,top
C4,116.2682,-87.5792,180.0,top
C5,133.7056,-98.057,270.0,top
C6,135.5852,-98.232,270.0,top
C7,137.7188,-98.232,270.0,top
C8,120.142,-45.2628,270.0,top
C9,116.319,-53.848,180.0,top
D1,127.762,-80.3656,0.0,top
D2,127.8128,-43.3324,0.0,top
D3,148.336,-97.2312,0.0,top
D5,148.3482,-48.2092,0.0,top
D6,148.336,-85.0392,0.0,top
D7,148.336,-109.4232,0.0,top
D8,148.3482,-60.4012,0.0,top
D9,148.3482,-72.5932,0.0,top
HS1,99.727,-43.942,0.0,top
HS2,109.601,-70.231,0.0,top
IC1,116.4844,-46.0118,270.0,top
IC2,116.4336,-83.0072,270.0,top
J1,95.631,-71.374,270.0,top
J2,145.8468,-88.5952,270.0,top
J3,145.8468,-76.4032,270.0,top
J4,145.8468,-100.7872,270.0,top
J5,145.8082,-39.5732,270.0,top
J6,145.8082,-51.7652,270.0,top
J7,145.8082,-63.9572,270.0,top
J8,129.7432,-65.532,270.0,top
J9,135.3312,-71.633,180.0,top
L1,125.984,-91.694,270.0,top
L2,126.0348,-54.7494,270.0,top
R1,112.6744,-86.5632,90.0,top
R11,143.319,-48.2092,180.0,top
R12,143.3068,-85.0392,180.0,top
R13,143.3068,-109.4232,180.0,top
R14,143.319,-60.4012,180.0,top
R15,143.319,-72.5932,180.0,top
R2,111.0996,-79.439,270.0,top
R3,112.6744,-79.439,90.0,top
R4,111.0996,-86.5632,270.0,top
R5,112.7252,-49.5678,90.0,top
R6,111.0996,-42.4566,270.0,top
R7,112.7252,-42.4566,90.0,top
R8,111.0996,-49.5678,270.0,top
R9,143.3068,-97.2312,180.0,top
U1,101.0636,-93.98,0.0,top
U2,101.0696,-57.0484,0.0,top
